seed,alpha,bandwidth,top1_all_mean,top1_all_std,top1_dom_mean,top1_dom_std,mae_mean,r2_mean,threshold_met
42,0.5,10.0,0.9709999999999999,0.0037416573867739447,0.9897118935279929,0.004294557254684136,0.020150233523986132,0.9913557532213579,True
42,0.5,12.0,0.9709999999999999,0.0037416573867739447,0.9897118935279929,0.004294557254684136,0.020154250430378527,0.9913481284266764,True
42,0.5,15.0,0.9709999999999999,0.0037416573867739447,0.9897118935279929,0.004294557254684136,0.02018989071036196,0.9913183318130434,True
42,0.5,20.0,0.97,0.003162277660168382,0.9885354229397576,0.0036895901259650643,0.020537030893021203,0.9911107070324876,True
42,1.0,8.0,0.945,0.014491376746189413,0.9906253185300757,0.00687312210916891,0.02340435028293286,0.982187622211789,True
42,1.0,10.0,0.945,0.014491376746189413,0.9906253185300757,0.00687312210916891,0.023408970981293457,0.9821913480910917,True
42,1.0,12.0,0.945,0.014491376746189413,0.9906253185300757,0.00687312210916891,0.023419105443823123,0.9821923163920362,True
42,1.0,15.0,0.943,0.01208304597359454,0.9906253185300757,0.00687312210916891,0.023454781702638077,0.9821686530930693,True
42,1.0,20.0,0.9410000000000001,0.013928388277184092,0.9879316852995297,0.009909299917904332,0.023709048363274428,0.9818741628242943,True
99,0.3,8.0,0.962,0.007483314773547889,0.9787476852160706,0.005444554483828588,0.017300384155671245,0.9942621191654784,True
99,0.3,10.0,0.962,0.007483314773547889,0.9787476852160706,0.005444554483828588,0.01729551551853726,0.9942642946397566,True
99,0.3,12.0,0.962,0.007483314773547889,0.9787476852160706,0.005444554483828588,0.0172942332346561,0.9942631338605163,True
99,0.3,15.0,0.96,0.008366600265340763,0.9766585563228182,0.006690029082390537,0.017338622902450272,0.9942448869202407,True
99,0.3,20.0,0.96,0.008366600265340762,0.9766585563228182,0.006690029082390537,0.017805691360310606,0.9940759308113094,True
99,0.5,8.0,0.968,0.013266499161421611,0.9918323907924449,0.004689887948787914,0.01873514525429845,0.9919990891730354,True
99,0.5,10.0,0.968,0.013266499161421611,0.9918323907924449,0.004689887948787914,0.018725847266312486,0.9920084057678862,True
99,0.5,12.0,0.968,0.013266499161421611,0.9918323907924449,0.004689887948787914,0.018716725065676166,0.9920180143004803,True
99,0.5,15.0,0.969,0.01319090595827293,0.9918323907924449,0.004689887948787914,0.018724022773552666,0.9920212238147756,True
99,0.5,20.0,0.969,0.01319090595827293,0.9918323907924449,0.004689887948787914,0.01894789352730136,0.9918690260473542,True
99,1.0,8.0,0.946,0.009695359714832631,0.9891568666778751,0.006794887235570265,0.02298496757422906,0.9827265073178548,True
99,1.0,10.0,0.946,0.009695359714832631,0.9891568666778751,0.006794887235570265,0.022978140139785056,0.9827434691564083,True
99,1.0,12.0,0.9470000000000001,0.010295630140986972,0.9891568666778751,0.006794887235570265,0.022970319784128806,0.9827654458224704,True
99,1.0,15.0,0.9480000000000001,0.008717797887081321,0.9891568666778751,0.006794887235570265,0.02296272963768339,0.9827968080616888,True
99,1.0,20.0,0.945,0.013784048752090185,0.9876862784425808,0.006675008656071324,0.023082020371433688,0.9826791817653021,True
